,Station Name,Line,Latitude,Longitude
104,Shelu railway station,Central Line ,20.3708363,77.2480043
105,Thansit railway station,Central Line ,19.5502698,73.352282
106,Targhar railway station,Nerul–Uran line ,18.9920191,73.0384519
107,Thane railway station,Central Line ,19.18446325,72.97067817490179
108,Thakurli railway station,Central Line ,19.2255622,73.0968165
109,Titwala railway station,Central Line ,19.2948464,73.2051012
110,Turbhe railway station,Trans-Harbour Line ,19.0761648,73.01766154369602
111,Ulhasnagar railway station,Central Line ,19.2227363,73.1657782
112,Umbermali railway station,Central Line ,19.6337517,73.4256215
113,Umroli railway station,Western Line ,19.7557614,72.7604506
114,Uran City railway station,Nerul–Uran line ,18.878674,72.9494826
115,Wadala Road railway station,Harbour Line ,19.0168546,72.8591933
116,Vaitarna railway station,Western Line ,19.5186517,72.8499772
117,Vangaon railway station,Western Line ,19.8829908,72.7631658
118,Vangani railway station,Central Line ,19.0943323,73.3008946
119,Vasai Road railway station,Western Line ,19.3826208,72.8320393
120,Vashi railway station,Central Line ,19.06413505,72.99785180661587
121,Vasind railway station,Central Line ,19.4065089,73.2674683
122,Vidyavihar railway station,Central Line ,19.078693,72.8976212
123,Vikhroli railway station,Central Line ,19.112295500000002,72.9282959621304
124,Vile Parle railway station,Western Line ,19.0999098,72.8440038
125,Virar railway station,Western Line ,19.455298,72.811816
126,Vithalwadi railway station,Central Line ,19.228396,73.1495166
127,Mulund railway station,Central Line ,19.1722904,72.9564695
128,Tilak Nagar railway station,Harbour Line ,27.6379803,95.667004
129,Sewri railway station,Harbour Line ,18.9987796,72.8544218
130,Taloja railway station,Central Line ,19.0614859,73.1161392
131,Pen railway station,Harbour Line ,18.736151,73.0949798
132,Rasayani railway station,Harbour Line ,18.8978821,73.1803608
133,Nagothane railway station,Harbour Line ,18.5402418,73.1406194
