,Station Name,Line,Latitude,Longitude,Cluster,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
60,Kharkopar railway station,Nerul–Uran line ,18.959918000000002,73.0141408146118,0,1,1,0,4,0,1,9,0,7,3
61,Khopoli,Central Line ,18.787747,73.3438185,0,15,10,0,41,6,6,26,8,19,4
62,King's Circle railway station,Harbour Line,19.0316822,72.8577375,0,1,4,0,4,1,3,5,6,13,3
63,Kopar railway station,Central Line ,19.2112829,73.0777719384552,0,2,6,0,15,6,1,12,3,4,4
64,Kopar Khairane railway station,Trans-Harbour Line ,19.1031203,73.012349,0,0,0,0,1,0,0,0,0,0,1
65,Kurla railway station,Central Line ,41.7238743,86.173541,3,6,4,0,80,31,12,53,7,54,9
66,Lower Parel railway station,Western Line ,18.9963318,72.8308603,0,0,0,0,0,0,0,0,0,0,0
67,Lowjee railway station,Central Line ,18.809181,73.3353859,0,0,0,0,0,0,0,2,0,0,0
68,Mahalaxmi railway station,Western Line ,27.6466703,85.3685094,3,0,0,0,0,0,1,0,0,0,0
69,Mahim railway station,Western Line ,19.6464428,72.7196769,0,3,4,0,23,4,4,18,2,14,6
70,Malad railway station,Western Line ,19.1867193,72.8485884,0,0,3,1,3,1,1,9,2,9,4
71,Mankhurd railway station,Harbour Line,19.0485178,72.9323356,0,1,0,0,7,1,2,3,1,4,2
72,Mansarovar railway station,Harbour Line,19.0164338,73.0806552,0,9,13,1,45,4,14,20,9,24,5
73,Marine Lines railway station,Western Line ,18.945964699999998,72.82359075110442,0,5,0,1,28,7,5,22,5,19,6
74,Masjid railway station,Central Line ,18.9527781,72.8381032,0,8,17,0,56,7,13,28,13,33,6
75,Matunga railway station,Central Line ,19.0274356,72.8501467,0,8,17,0,56,7,13,28,13,33,6
76,Matunga Road railway station,Western Line ,19.0274356,72.8501467,0,2,3,0,41,5,4,30,19,17,13
77,Mumbai Central railway station,Western Line ,18.9695855,72.8193152,0,4,9,0,36,10,7,16,5,17,2
78,Mulund railway station,Central Line ,19.1722904,72.9564695,0,2,1,0,3,0,5,5,1,3,1
79,Mumbra railway station,Central Line ,19.1899455,73.02326313242338,0,1,3,0,10,4,3,9,8,10,2
80,Nahur railway station,Central Line ,19.1570448,72.9471855,0,0,0,0,0,0,0,0,0,1,0
81,Naigaon railway station,Western Line ,18.8491322,77.5310969,0,4,5,0,5,3,11,7,3,16,5
82,Nallasopara railway station,Western Line ,19.4178997,72.8185693,0,0,1,0,0,1,1,0,0,4,1
83,Neral railway station,Central Line ,19.0274308,73.3184369,0,5,9,0,23,5,4,11,3,13,4
84,Nerul,Harbour Line,19.033611800000003,73.01813957492513,0,0,0,0,1,0,0,0,0,2,3
85,Navade Road railway station,Central Line ,19.07223625,73.09782204999999,0,0,0,0,0,0,2,2,0,0,1
86,Nhava Sheva railway station,Nerul–Uran line ,18.9461995,72.95031154854297,0,1,0,0,8,0,1,4,6,2,1
87,Nilaje railway station,Central Line ,19.1545761,73.0802554,0,0,2,0,5,0,1,11,0,7,2
88,Palghar railway station,Western Line ,19.6978751,72.7686942,0,8,4,0,6,4,4,4,6,9,4
90,Panvel railway station,Harbour Line,18.9891659,73.1212219,0,0,0,1,6,2,3,7,3,1,5
91,Parel railway station,Central Line ,19.0094817,72.8376614,0,6,3,4,18,4,4,40,8,6,4
92,Rabale railway station,Trans-Harbour Line ,19.1377149,73.0031987,0,1,0,0,3,0,0,2,0,2,3
93,Ram Mandir railway station,Western Line ,19.151023,72.8501467,0,8,5,0,21,5,7,5,10,14,4
95,Roha railway station,Harbour Line,18.44658,73.1238722,0,4,3,0,29,7,3,7,9,38,6
96,Sagar Sangam railway station,Nerul–Uran line ,19.0221923,73.01873756602905,0,8,5,0,43,7,14,40,1,56,15
97,Sandhurst Road railway station,Central Line ,18.96165325,72.83941803512332,0,8,5,0,21,5,7,5,10,14,4
98,Sanpada railway station,Harbour Line,19.0679524,73.0093933,0,0,0,0,2,0,0,3,0,3,1
99,Santacruz railway station,Western Line ,19.0815223,72.8417565,0,6,5,0,25,5,6,11,6,11,11
100,Seawoods–Darave railway station,Harbour Line,19.0221923,73.01873756602905,0,0,4,0,4,1,3,5,3,4,2
101,Saphale railway station,Western Line ,19.5771316,72.8218812,0,0,0,0,0,0,0,0,0,0,0
102,Sion railway station,Central Line ,19.0465213,72.8632834,0,0,0,0,1,0,0,0,0,0,0
103,Shahad railway station,Central Line ,19.2458783,73.1573918,0,0,0,0,3,0,3,2,0,0,0
104,Shelu railway station,Central Line ,20.3708363,77.2480043,0,3,9,1,38,8,9,13,3,21,8
105,Thansit railway station,Central Line ,19.5502698,73.352282,0,1,1,0,8,2,2,3,2,11,2
106,Targhar railway station,Nerul–Uran line ,18.9920191,73.0384519,0,0,1,0,2,0,1,1,0,1,1
107,Thane railway station,Central Line ,19.18446325,72.97067817490179,0,0,0,1,4,1,5,4,0,1,4
108,Thakurli railway station,Central Line ,19.2255622,73.0968165,0,4,4,0,6,1,3,12,0,9,2
109,Titwala railway station,Central Line ,19.2948464,73.2051012,0,0,0,0,2,0,0,0,0,0,0
110,Turbhe railway station,Trans-Harbour Line ,19.0761648,73.01766154369602,0,0,0,0,0,0,0,0,0,0,1
111,Ulhasnagar railway station,Central Line ,19.2227363,73.1657782,0,0,1,0,0,0,0,2,0,2,0
112,Umbermali railway station,Central Line ,19.6337517,73.4256215,0,3,8,0,11,7,8,12,12,15,3
113,Umroli railway station,Western Line ,19.7557614,72.7604506,0,0,0,0,0,0,2,0,0,0,1
114,Uran City railway station,Nerul–Uran line ,18.878674,72.9494826,0,0,0,0,1,0,0,1,0,0,1
115,Wadala Road railway station,Harbour Line,19.0168546,72.8591933,0,0,0,0,0,0,2,1,0,1,1
116,Vaitarna railway station,Western Line ,19.5186517,72.8499772,0,5,5,0,19,6,4,6,4,7,6
117,Vangaon railway station,Western Line ,19.8829908,72.7631658,0,6,5,2,39,12,3,26,11,46,8
118,Vangani railway station,Central Line ,19.0943323,73.3008946,0,0,0,0,1,0,1,2,0,2,1
119,Vasai Road railway station,Western Line ,19.3826208,72.8320393,0,2,18,2,25,9,10,9,3,13,3
120,Vashi railway station,Central Line ,19.06413505,72.99785180661587,0,5,12,0,19,5,3,21,5,4,7
121,Vasind railway station,Central Line ,19.4065089,73.2674683,0,8,26,0,52,9,8,18,11,24,11
122,Vidyavihar railway station,Central Line ,19.078693,72.8976212,0,2,14,0,20,2,7,10,14,8,7
123,Vikhroli railway station,Central Line ,19.112295500000002,72.9282959621304,0,4,2,0,5,3,4,9,3,10,2
124,Vile Parle railway station,Western Line ,19.0999098,72.8440038,0,4,9,0,36,10,7,16,5,17,2
125,Virar railway station,Western Line ,19.455298,72.811816,0,0,0,0,0,0,0,0,0,0,0
126,Vithalwadi railway station,Central Line ,19.228396,73.1495166,0,1,6,0,6,3,5,3,12,15,4
127,Mulund railway station,Central Line ,19.1722904,72.9564695,0,0,0,1,0,0,0,11,0,3,1
128,Tilak Nagar railway station,Harbour Line,27.6379803,95.667004,3,0,3,0,1,0,1,3,0,10,2
129,Sewri railway station,Harbour Line,18.9987796,72.8544218,0,0,5,0,2,0,2,2,0,0,1
130,Taloja railway station,Central Line ,19.0614859,73.1161392,0,1,0,0,0,0,0,0,0,0,0
131,Pen railway station,Harbour Line,18.736151,73.0949798,0,0,0,0,0,0,0,0,0,0,0
132,Rasayani railway station,Harbour Line,18.8978821,73.1803608,0,0,0,0,0,0,0,0,0,0,0
133,Nagothane railway station,Harbour Line,18.5402418,73.1406194,0,0,0,0,0,0,0,0,0,0,0
